j1p4,j1p4,j1p4,j1p4,j2p4,j2p4,j2p4,j2p4,j3p4,j3p4,j3p4,j3p4,dR12,dR13,dR23,j1btag,j2btag,j3btag,j1area,j2area,j3area
pt,phi,eta,mass,pt,phi,eta,mass,pt,phi,eta,mass,,,,,,,,,
122.6875,-2.9199219,0.44580078,12.1015625,87.875,-0.45544434,1.2094727,9.109375,36.21875,-3.0722656,1.4020996,9.109375,2.580086,0.9683574,2.6239016,0.98095703,0.98095703,0.98095703,0.45874023,0.50878906,0.47875977
122.6875,-2.9199219,0.44580078,12.1015625,87.875,-0.45544434,1.2094727,9.109375,31.90625,-0.6164551,0.26141357,9.109375,2.580086,2.310835,0.9616343,0.98095703,0.98095703,0.98095703,0.45874023,0.50878906,0.48876953
122.6875,-2.9199219,0.44580078,12.1015625,36.21875,-3.0722656,1.4020996,6.8632812,31.90625,-0.6164551,0.26141357,6.8632812,0.9683574,2.310835,2.707798,0.98095703,0.98095703,0.98095703,0.45874023,0.47875977,0.48876953
87.875,-0.45544434,1.2094727,9.109375,36.21875,-3.0722656,1.4020996,6.8632812,31.90625,-0.6164551,0.26141357,6.8632812,2.6239016,0.9616343,2.707798,0.9980469,0.9980469,0.9980469,0.50878906,0.47875977,0.48876953
74.375,-1.6120605,0.98291016,14.8671875,70.0,2.3203125,1.043457,12.515625,60.90625,0.35394287,-0.89294434,12.515625,2.3515918,2.7173517,2.7597573,0.12585449,0.12585449,0.12585449,0.50878906,0.46875,0.4987793
74.375,-1.6120605,0.98291016,14.8671875,70.0,2.3203125,1.043457,12.515625,42.5625,0.6464844,0.7310791,12.515625,2.3515918,2.2725413,1.7027276,0.12585449,0.12585449,0.12585449,0.50878906,0.46875,0.5385742
74.375,-1.6120605,0.98291016,14.8671875,60.90625,0.35394287,-0.89294434,10.6484375,42.5625,0.6464844,0.7310791,10.6484375,2.7173517,2.2725413,1.6501614,0.12585449,0.12585449,0.12585449,0.50878906,0.4987793,0.5385742
70.0,2.3203125,1.043457,12.515625,60.90625,0.35394287,-0.89294434,10.6484375,42.5625,0.6464844,0.7310791,10.6484375,2.7597573,1.7027276,1.6501614,0.1361084,0.1361084,0.1361084,0.46875,0.4987793,0.5385742
111.625,2.916504,-0.23373413,13.0234375,38.875,2.244629,0.74816895,5.5429688,30.875,1.2495117,-1.0217285,5.5429688,1.1897688,1.8438543,2.030467,-10.0,-10.0,-10.0,0.54833984,0.5288086,0.50878906
147.25,0.035888672,1.310791,16.328125,96.3125,2.849121,1.0932617,12.328125,31.703125,-1.1938477,0.85583496,12.328125,2.82163,1.3111968,2.252763,0.19873047,0.19873047,0.19873047,0.50878906,0.50878906,0.47875977
63.625,0.034568787,1.3447266,7.015625,50.875,1.1918945,2.1816406,8.2890625,31.59375,-2.7529297,-1.0476074,8.2890625,1.4282255,3.673338,3.9869757,0.78564453,0.78564453,0.78564453,0.50878906,0.5288086,0.5883789
80.875,2.8457031,-0.5756836,16.453125,65.25,-0.74658203,1.8234863,10.25,51.6875,0.86376953,1.3913574,10.25,3.6051297,2.7923667,1.6673235,0.85595703,0.85595703,0.85595703,0.5288086,0.50878906,0.5185547
80.875,2.8457031,-0.5756836,16.453125,65.25,-0.74658203,1.8234863,10.25,51.1875,-0.9063721,-0.049842834,10.25,3.6051297,2.585155,1.8801317,0.85595703,0.85595703,0.85595703,0.5288086,0.50878906,0.47875977
80.875,2.8457031,-0.5756836,16.453125,65.25,-0.74658203,1.8234863,10.25,49.84375,1.8232422,-1.3632812,10.25,3.6051297,1.2906343,4.093835,0.85595703,0.85595703,0.85595703,0.5288086,0.50878906,0.47875977
80.875,2.8457031,-0.5756836,16.453125,65.25,-0.74658203,1.8234863,10.25,36.3125,1.5561523,0.081832886,10.25,3.6051297,1.4475046,2.8872032,0.85595703,0.85595703,0.85595703,0.5288086,0.50878906,0.5185547
80.875,2.8457031,-0.5756836,16.453125,65.25,-0.74658203,1.8234863,10.25,34.0625,-1.3361816,1.6652832,10.25,3.6051297,3.0720346,0.6104555,0.85595703,0.85595703,0.85595703,0.5288086,0.50878906,0.46875
80.875,2.8457031,-0.5756836,16.453125,51.6875,0.86376953,1.3913574,8.9140625,51.1875,-0.9063721,-0.049842834,8.9140625,2.7923667,2.585155,2.2826433,0.85595703,0.85595703,0.85595703,0.5288086,0.5185547,0.47875977
80.875,2.8457031,-0.5756836,16.453125,51.6875,0.86376953,1.3913574,8.9140625,49.84375,1.8232422,-1.3632812,8.9140625,2.7923667,1.2906343,2.9169543,0.85595703,0.85595703,0.85595703,0.5288086,0.5185547,0.47875977
80.875,2.8457031,-0.5756836,16.453125,51.6875,0.86376953,1.3913574,8.9140625,36.3125,1.5561523,0.081832886,8.9140625,2.7923667,1.4475046,1.4812995,0.85595703,0.85595703,0.85595703,0.5288086,0.5185547,0.5185547
80.875,2.8457031,-0.5756836,16.453125,51.6875,0.86376953,1.3913574,8.9140625,34.0625,-1.3361816,1.6652832,8.9140625,2.7923667,3.0720346,2.2169397,0.85595703,0.85595703,0.85595703,0.5288086,0.5185547,0.46875
80.875,2.8457031,-0.5756836,16.453125,51.1875,-0.9063721,-0.049842834,7.4882812,49.84375,1.8232422,-1.3632812,7.4882812,2.585155,1.2906343,3.0291772,0.85595703,0.85595703,0.85595703,0.5288086,0.47875977,0.47875977
80.875,2.8457031,-0.5756836,16.453125,51.1875,-0.9063721,-0.049842834,7.4882812,36.3125,1.5561523,0.081832886,7.4882812,2.585155,1.4475046,2.4660423,0.85595703,0.85595703,0.85595703,0.5288086,0.47875977,0.5185547
80.875,2.8457031,-0.5756836,16.453125,51.1875,-0.9063721,-0.049842834,7.4882812,34.0625,-1.3361816,1.6652832,7.4882812,2.585155,3.0720346,1.768161,0.85595703,0.85595703,0.85595703,0.5288086,0.47875977,0.46875
80.875,2.8457031,-0.5756836,16.453125,49.84375,1.8232422,-1.3632812,7.2890625,36.3125,1.5561523,0.081832886,7.2890625,1.2906343,1.4475046,1.469589,0.85595703,0.85595703,0.85595703,0.5288086,0.47875977,0.5185547
80.875,2.8457031,-0.5756836,16.453125,49.84375,1.8232422,-1.3632812,7.2890625,34.0625,-1.3361816,1.6652832,7.2890625,1.2906343,3.0720346,4.350872,0.85595703,0.85595703,0.85595703,0.5288086,0.47875977,0.46875
80.875,2.8457031,-0.5756836,16.453125,36.3125,1.5561523,0.081832886,5.2773438,34.0625,-1.3361816,1.6652832,5.2773438,1.4475046,3.0720346,3.29741,0.85595703,0.85595703,0.85595703,0.5288086,0.5185547,0.46875
65.25,-0.74658203,1.8234863,10.25,51.6875,0.86376953,1.3913574,8.9140625,51.1875,-0.9063721,-0.049842834,8.9140625,1.6673235,1.8801317,2.2826433,0.24645996,0.24645996,0.24645996,0.50878906,0.5185547,0.47875977
65.25,-0.74658203,1.8234863,10.25,51.6875,0.86376953,1.3913574,8.9140625,49.84375,1.8232422,-1.3632812,8.9140625,1.6673235,4.093835,2.9169543,0.24645996,0.24645996,0.24645996,0.50878906,0.5185547,0.47875977
65.25,-0.74658203,1.8234863,10.25,51.6875,0.86376953,1.3913574,8.9140625,36.3125,1.5561523,0.081832886,8.9140625,1.6673235,2.8872032,1.4812995,0.24645996,0.24645996,0.24645996,0.50878906,0.5185547,0.5185547
65.25,-0.74658203,1.8234863,10.25,51.6875,0.86376953,1.3913574,8.9140625,34.0625,-1.3361816,1.6652832,8.9140625,1.6673235,0.6104555,2.2169397,0.24645996,0.24645996,0.24645996,0.50878906,0.5185547,0.46875
65.25,-0.74658203,1.8234863,10.25,51.1875,-0.9063721,-0.049842834,7.4882812,49.84375,1.8232422,-1.3632812,7.4882812,1.8801317,4.093835,3.0291772,0.24645996,0.24645996,0.24645996,0.50878906,0.47875977,0.47875977
65.25,-0.74658203,1.8234863,10.25,51.1875,-0.9063721,-0.049842834,7.4882812,36.3125,1.5561523,0.081832886,7.4882812,1.8801317,2.8872032,2.4660423,0.24645996,0.24645996,0.24645996,0.50878906,0.47875977,0.5185547
65.25,-0.74658203,1.8234863,10.25,51.1875,-0.9063721,-0.049842834,7.4882812,34.0625,-1.3361816,1.6652832,7.4882812,1.8801317,0.6104555,1.768161,0.24645996,0.24645996,0.24645996,0.50878906,0.47875977,0.46875
65.25,-0.74658203,1.8234863,10.25,49.84375,1.8232422,-1.3632812,7.2890625,36.3125,1.5561523,0.081832886,7.2890625,4.093835,2.8872032,1.469589,0.24645996,0.24645996,0.24645996,0.50878906,0.47875977,0.5185547
65.25,-0.74658203,1.8234863,10.25,49.84375,1.8232422,-1.3632812,7.2890625,34.0625,-1.3361816,1.6652832,7.2890625,4.093835,0.6104555,4.350872,0.24645996,0.24645996,0.24645996,0.50878906,0.47875977,0.46875
65.25,-0.74658203,1.8234863,10.25,36.3125,1.5561523,0.081832886,5.2773438,34.0625,-1.3361816,1.6652832,5.2773438,2.8872032,0.6104555,3.29741,0.24645996,0.24645996,0.24645996,0.50878906,0.5185547,0.46875
